Date,Tempature High (°F),Tempature Low (°F),Percipitation MTD (Inch),Percipitation YTD (Inch),Snow MTD (Inch),Snow YTD (Inch),Rain
2/15/2016,37.8,18,0.39,1.14,3.5,9.61,1
2/16/2016,38.2,18.3,0.43,1.14,3.7,9.8,0
2/17/2016,38.5,18.6,0.47,1.18,3.9,10,0
2/18/2016,38.9,18.9,0.51,1.22,4.21,10.31,0
2/19/2016,39.3,19.3,0.51,1.26,4.41,10.51,1
2/20/2016,39.7,19.6,0.55,1.3,4.61,10.71,0
2/21/2016,40.1,19.9,0.59,1.3,4.8,10.91,0
2/22/2016,40.5,20.3,0.63,1.34,5,11.1,0
2/23/2016,40.9,20.6,0.67,1.38,5.2,11.3,0
2/24/2016,41.3,21,0.71,1.42,5.39,11.5,0
2/25/2016,41.8,21.3,0.75,1.46,5.59,11.69,0
2/26/2016,42.2,21.7,0.79,1.5,5.71,11.81,0
2/27/2016,42.7,22,0.83,1.54,5.91,12.01,0
2/28/2016,43.1,22.4,0.87,1.57,6.1,12.2,0
2/29/2016,43.4,22.5,0,0,0,0,1
3/1/2016,43.6,22.7,0.04,1.61,0.2,12.4,0
3/2/2016,44.1,23.1,0.08,1.65,0.39,12.6,0
3/3/2016,44.6,23.4,0.16,1.69,0.51,12.72,0
3/4/2016,45.1,23.8,0.2,1.77,0.71,12.91,0
3/5/2016,45.6,24.1,0.24,1.81,0.91,13.11,0
3/6/2016,46,24.5,0.28,1.85,0.98,13.19,0
3/7/2016,46.5,24.8,0.35,1.93,1.18,13.39,0
3/8/2016,47,25.2,0.39,1.97,1.42,13.58,0
3/9/2016,47.5,25.6,0.43,2.01,1.5,13.7,0
3/10/2016,48,25.9,0.51,2.09,1.69,13.9,0
3/11/2016,48.5,26.3,0.55,2.13,1.81,14.02,0
3/12/2016,49,26.6,0.59,2.17,2.01,14.21,0
3/13/2016,49.5,27,0.67,2.24,2.09,14.29,0
3/14/2016,50,27.4,0.71,2.28,2.28,14.49,0
3/15/2016,50.5,27.7,0.79,2.36,2.4,14.61,0
3/16/2016,51,28.1,0.83,2.4,2.6,14.8,0
3/17/2016,51.5,28.4,0.91,2.48,2.72,14.88,0
3/18/2016,52,28.8,0.98,2.56,2.8,15,0
3/19/2016,52.5,29.1,1.06,2.64,2.91,15.12,0
3/20/2016,52.9,29.5,1.14,2.72,3.11,15.31,0
3/21/2016,53.4,29.9,1.18,2.76,3.19,15.39,0
3/22/2016,53.9,30.2,1.26,2.83,3.31,15.51,0
3/23/2016,54.3,30.6,1.34,2.91,3.39,15.59,0
3/24/2016,54.8,31,1.42,2.99,3.5,15.71,0
3/25/2016,55.2,31.3,1.5,3.07,3.58,15.79,0
3/26/2016,55.7,31.7,1.57,3.15,3.7,15.91,0
3/27/2016,56.1,32.1,1.65,3.23,3.82,15.98,0
3/28/2016,56.6,32.5,1.73,3.31,3.9,16.1,0
3/29/2016,57,32.9,1.81,3.39,4.02,16.18,0
